WELL ,SUBSTRATE ,289-P1-0 ,289-P2-0 ,289-P3-0 ,289-P1-24,289-P2-24,289-P3-24,289-P1-48,289-P2-48,289-P3-48,289-P1-72,289-P2-72,289-P3-72,289-P1-96,289-P2-96,289-P3-96,289-P1-120,289-P2-120,289-P3-120,358-P1-0,358 -P2-0,358 -P3-0,358 -P1-24,358 -P2-24,358 -P3-24,358 -P1-48,358 -P2-48,358-P3-48,358-P1-72,358-P2-72,358-P3-72,358-P1-96,358-P2-96,358-P3-96,358-P1-120,358-P2-120,358-P3-120,366-P1-0,366-P2-0,366-P3-0,366-P1-24,366-P2-24,366-P3-24,366-P1-48,366-P2-48,366-P3-48,366-P1-72,366-P2-72,366-P3-72,366-P1-96,366-P2-96,366-P3-96,366-P1-120,366-P2-120,366-P3-120
A2,Dextrin,0.051,0.068,0.038,0.51,0.642,0.627,1.018,1.022,0.983,0.969,1.026,0.968,1.056,1.002,0.896,1.09,0.989,0.778,0.033,0.027,0.069,0.528,0.554,0.54,0.937,0.95,0.955,0.875,0.874,0.88,0.888,0.86,0.877,0.889,0.872,0.876,0.003,0.017,-0.301,0.573,0.545,0.464,0.937,0.96,0.939,0.901,0.88,0.898,0.87,0.85,0.866,0.873,0.846,0.882
A3,D-Maltose,-0.002,0.014,-0.032,0.518,0.571,0.558,0.839,0.884,0.918,0.929,0.962,0.99,0.834,0.746,1.004,0.813,0.622,0.594,0.006,0.019,0.046,0.541,0.568,0.548,0.802,0.847,0.741,0.865,0.846,0.872,0.933,0.934,0.907,0.906,0.94,0.877,-0.052,0.006,-0.364,0.557,0.546,0.492,0.811,0.818,0.745,0.811,0.893,0.823,0.762,0.91,0.867,0.802,0.878,0.935
A4,D-Trehalose,0.006,0.014,-0.028,0.561,0.629,0.701,0.766,0.786,0.86,0.789,0.788,0.801,0.77,0.803,0.643,0.734,0.776,0.674,0.009,0.011,0.036,0.568,0.574,0.512,0.739,0.743,0.647,0.766,0.825,0.733,0.788,0.947,0.783,0.852,0.895,0.795,-0.053,0.014,-0.371,0.592,0.561,0.537,0.74,0.723,0.718,0.779,0.743,0.816,0.824,0.822,0.922,0.879,0.812,0.866
A5,D-Cellobiose,-0.015,-0.009,-0.028,0.016,0.047,0.059,0.025,0.06,0.055,0.018,0.052,0.05,0.013,0.044,-0.017,0.013,0.029,-0.007,0.024,0.009,0.014,0.058,0.051,0.039,0.072,0.049,0.044,0.062,0.04,0.041,0.071,0.03,0.039,0.067,0.037,0.038,-0.051,-0.002,-0.373,0.008,0.038,0.039,0.007,0.035,0.028,0.002,0.029,0.023,0.005,0.021,0.014,-0.004,0.013,0.014
A6,Gentiobiose,0.035,0.026,0.001,0.034,0.078,0.077,0.035,0.091,0.05,0.026,0.099,0.03,0.026,0.095,0.028,0.03,0.075,0.02,0.009,0.019,0.026,0.081,0.075,0.085,0.088,0.073,0.097,0.08,0.076,0.093,0.079,0.064,0.083,0.074,0.079,0.082,0.005,0.019,-0.344,0.063,0.049,0.024,0.067,0.029,0.023,0.059,0.022,0.016,0.052,0.02,0.022,0.044,0.017,0.022
A7,Sucrose,0.007,0,-0.008,0.789,0.852,0.837,0.988,1.075,0.967,0.873,0.909,0.874,0.765,0.75,0.706,0.717,0.701,0.693,-0.001,0.004,0.015,0.605,0.63,0.606,0.853,0.887,0.847,0.907,1.013,0.922,0.939,1.008,0.867,0.927,0.955,0.88,-0.052,0.001,-0.371,0.66,0.644,0.65,0.907,0.895,0.99,0.825,0.975,0.943,0.915,0.983,0.979,0.919,0.91,0.997
A8,D-Turanose,0.021,0.036,-0.004,0.082,0.134,0.142,0.063,0.125,0.107,0.086,0.12,0.067,0.106,0.125,0.065,0.12,0.136,0.094,0.031,0.048,0.029,0.143,0.181,0.187,0.157,0.18,0.19,0.145,0.187,0.196,0.142,0.176,0.171,0.147,0.181,0.18,-0.027,0.022,-0.356,0.06,0.083,0.117,0.073,0.093,0.118,0.067,0.084,0.118,0.083,0.087,0.123,0.091,0.087,0.128
A9,Stachyose,-0.002,0.009,-0.012,0.008,0.05,0.058,0.042,0.073,0.041,0.066,0.057,-0.037,0.057,0.053,-0.038,0.048,0.027,-0.02,0.005,0.01,0.016,0.042,0.03,0.031,0.044,0.039,0.04,0.026,0.025,0.04,0.027,0.016,0.027,0.031,0.028,0.036,-0.033,0.008,-0.354,0.005,0.034,0.037,0.007,0.019,0.027,0.003,0.01,0.024,-0.001,0.019,0.026,0.001,0.021,0.032
A11,pH 6,-0.022,-0.011,-0.031,0.764,0.804,0.747,1.038,1.061,0.973,1.326,1.416,1.227,1.497,1.629,1.514,1.582,1.74,1.611,-0.005,-0.003,-0.007,0.883,0.969,0.925,1.395,1.434,1.386,1.476,1.496,1.46,1.523,1.534,1.477,1.565,1.567,1.498,-0.05,0.001,-0.385,0.809,0.82,0.778,1.342,1.367,1.303,1.46,1.465,1.449,1.483,1.483,1.489,1.536,1.535,1.561
A12,pH 5,-0.023,-0.014,-0.033,-0.029,-0.019,-0.029,0.102,0.128,0.004,0.278,0.458,0.114,0.676,0.813,0.577,0.958,0.992,0.892,-0.006,-0.003,-0.008,-0.021,-0.001,-0.023,0.003,0.02,-0.009,-0.007,0.24,-0.013,0.009,0.718,-0.016,0.034,1.045,0.365,-0.053,0.011,-0.381,-0.041,-0.004,-0.053,-0.001,0.002,-0.053,0.115,0.004,-0.049,0.625,0.079,-0.059,0.923,0.648,-0.05
B1,D-Raffinose,-0.021,0.017,-0.01,-0.013,0.035,0.037,-0.014,0.044,0.03,-0.017,0.037,-0.012,-0.01,0.027,-0.033,-0.002,0.012,-0.027,0.002,0,0.028,0.025,0.008,0.027,0.021,0.004,0.024,0.021,0.007,0.03,0.018,0.004,0.025,0.016,0.018,0.029,-0.031,0.009,-0.369,-0.005,0.011,0.022,0.009,0.005,0.004,0.001,0.004,0.006,-0.002,-0.006,0.013,0.006,-0.008,0.006
B2,α-D-Lactose,-0.008,0.046,0.03,0.009,0.023,0.02,0.035,0.015,0.026,0.028,0.029,-0.051,-0.03,0.037,-0.038,0.019,0.034,-0.027,0.027,0.036,0.126,0.013,0.001,0.049,0.015,0.009,0.01,0.01,0.009,0.03,0.001,-0.007,0.002,-0.002,0.006,0.004,-0.032,0.045,-0.282,-0.007,0.029,0.066,0.003,0.014,0.009,0,0.007,0.021,-0.012,0,0.01,-0.012,-0.003,0.025
B3,D-Melibiose,-0.008,0.02,-0.004,-0.017,0.084,0.085,-0.025,0.111,0.037,-0.04,0.12,-0.025,0.036,0.106,0.001,-0.013,0.097,0.001,0.008,0.02,0.072,0.093,0.032,0.094,0.088,0.045,0.05,0.079,0.043,0.078,0.074,0.027,0.048,0.073,0.041,0.067,-0.043,0.007,-0.298,0.014,0.034,0.098,0.024,0.018,0.041,0.012,0.016,0.055,0.003,0.006,0.039,0.003,-0.002,0.062
B4,β-Methyl-D-Glucoside,0.002,0.023,0.006,0.577,0.719,0.714,0.799,0.779,0.774,0.749,0.695,0.621,0.686,0.682,0.583,0.688,0.662,0.576,0.056,0.059,0.106,0.512,0.598,0.582,0.74,0.771,0.772,0.737,0.924,0.814,0.783,0.901,0.825,0.881,0.899,0.876,-0.023,0.033,-0.273,0.594,0.551,0.603,0.75,0.723,0.763,0.733,0.784,0.82,0.724,0.879,0.887,0.801,0.9,0.935
B5,D-Salicin,0.007,0.048,0.007,0.025,0.041,0.051,0.029,0.049,0.018,0,0.028,-0.026,-0.02,0.028,-0.02,0.011,0.018,-0.007,0.056,0.067,0.091,0.073,0.032,0.087,0.066,0.033,0.044,0.04,0.015,0.045,0.028,-0.004,0.013,0.034,0.015,0.048,-0.008,0.05,-0.263,0.002,0.046,0.11,0.028,0.044,0.048,-0.001,0.016,0.033,-0.012,-0.003,0.014,-0.011,-0.007,0.045
B6,N-Acetyl-D-Glucosamine,0.002,0.012,-0.025,0.867,0.959,0.884,1.058,1.093,0.901,0.901,0.895,0.742,0.884,0.991,0.715,1.018,0.938,0.886,-0.007,0,0.055,0.761,0.77,0.805,0.915,0.893,0.916,1.098,1.24,1.06,1.11,1.1,1.038,1.046,1.084,1.069,-0.041,-0.007,-0.313,0.773,0.719,0.791,0.924,0.909,0.944,1,1.249,1.02,1.021,1.01,1.012,0.982,0.994,1.009
B7,N-Acetyl-β-D-Mannosamine,0.029,0.039,-0.002,0.014,0.057,0.077,-0.005,0.03,0.057,-0.002,0.032,0.002,-0.001,0.047,0.002,0.021,0.04,0.019,0.004,0.021,0.056,0.604,0.622,0.655,0.965,0.966,1.02,1.004,1.201,1.192,1.109,1.207,1.167,1.04,1.119,1.077,-0.018,0.004,-0.289,0.634,0.601,0.653,1.014,0.996,0.97,1.104,1.042,1.152,1.077,1.065,1.03,1.049,0.998,1.057
B8,N-Acetyl-D-Galactosamine,-0.016,0.017,-0.027,0.004,0.006,-0.006,-0.027,-0.026,-0.048,-0.052,-0.036,-0.075,-0.051,-0.028,-0.067,-0.017,-0.018,-0.051,-0.001,0.021,0.054,0.578,0.602,0.601,1.009,1.032,1.004,1.167,1.183,1.228,1.103,1.263,1.181,1.123,1.191,1.13,-0.004,0.011,-0.32,0.583,0.596,0.622,0.996,0.996,0.983,1.076,1.163,1.134,1.045,1.246,1.168,1.075,1.128,1.157
B9,N-AcetylNeuraminic Acid,-0.027,-0.012,-0.036,0.01,0.041,0.05,0.022,0.06,-0.001,0.067,0.048,-0.029,0.049,0.053,-0.032,0.069,0.04,-0.027,0.008,-0.003,0.033,0.034,0.04,0.082,0.035,0.045,0.039,0.033,0.045,0.063,0.023,0.03,0.032,0.026,0.047,0.054,-0.058,0.022,-0.339,-0.003,0.035,0.096,0.012,0.027,0.035,0.012,0.024,0.039,-0.004,0.008,0.024,-0.003,0.004,0.047
