layers	Hv98_231	b1_3	AV040	ZfB1	Hm21	C4	Hv98_241	ANYA_18196	KMM366	ANYA_14430	AV183026	FDAARGOS_632	Hm22	KMM358	ANYA_13997	Ho04_635	FC951	AV0110	Hv98_232	Hv98_225	AV1708_29120	D3	KMM289	Hv98_571
ANYA_13997	0.851015146930021	0.811170154097728	0.815102335384334	0.83601836526556	0.852192296309667	0.843945821223937	0.84783891439719	0.824381556920715	0.83586493245464	0.897153624032363	0.846969712765115	0.816463344595164	0.858859497263715	0.835936179427746	1.0	0.850821438670113	0.808094050058563	0.824881563635593	0.848867353589788	0.81291310190219	0.809105212214904	0.819466581469697	0.831676536878807	0.854384558674327
ANYA_14430	0.850174642780202	0.809799288794972	0.814852826276038	0.831945257823203	0.856406607877901	0.851860456326344	0.850196893659958	0.814858063675586	0.832026983232159	1.0	0.845821970165885	0.821324201684632	0.85399598206092	0.831966366999301	0.894617077606717	0.850114149900622	0.803232259408425	0.819254256458035	0.848377616856558	0.81559751888946	0.809574540094	0.81791353006041	0.822657495656952	0.849332281425509
ANYA_18196	0.848057049320296	0.836948699496578	0.865100814249271	0.834795507302213	0.854206626336958	0.85002536103795	0.847964309279572	1.0	0.844677938904263	0.834157230232057	0.8460032651054	0.870429502696738	0.848785095102414	0.844698234414693	0.845825473676625	0.850955193391113	0.828802909572967	0.866705779362424	0.845785650388941	0.851426172589377	0.851921874172416	0.844332754183904	0.841346026332878	0.845457463769276
AV0110	0.817193220527689	0.821593631866027	0.837305983870493	0.796322960788327	0.821002648519926	0.82387506269891	0.821071391801075	0.828229719234272	0.811705195432045	0.80548789074152	0.814640363149061	0.852159312043683	0.818181395977777	0.811569810630797	0.80662087272897	0.824123992477502	0.799900418664867	1.0	0.814934011266233	0.831177326930856	0.815698114932246	0.827270494079921	0.829190781075112	0.814696463927056
AV040	0.837732012936564	0.859649273888801	1.0	0.827296548129923	0.841366064526949	0.846307228007445	0.845575982968796	0.859920094820198	0.840510763371423	0.833074154356776	0.838374652426541	0.864441648296733	0.849040546755184	0.840520005925291	0.834063499796493	0.843007111113837	0.820826485314319	0.867558371470272	0.836311207594133	0.853266588246361	0.839224951629667	0.85495031176008	0.848985280469475	0.8450254723263
AV1708_29120	0.824400799417131	0.848290821024394	0.841082934669512	0.814841820692397	0.830862993308533	0.831949535540944	0.829602470543365	0.841367077877468	0.825335003758688	0.823126296681999	0.826464529669706	0.842619238104792	0.831699844988702	0.825343574287845	0.822395450436231	0.827705905892858	0.806790589821272	0.844185273260491	0.822343086519688	0.830523443324028	1.0	0.831584720090024	0.826779247611197	0.828385603002081
AV183026	0.849462120779811	0.821784442366854	0.829088649960124	0.835003335754834	0.854106880464298	0.861198944337172	0.847323166292239	0.83073190082196	0.848312935559446	0.850892180907679	1.0	0.831351669683852	0.856041400492951	0.848109815595204	0.850683260434712	0.846994427910968	0.811498510521695	0.835685719128746	0.846192723919733	0.832483691392371	0.820050446932931	0.833692918971641	0.834510209551824	0.852681188974571
C4	0.804061152114433	0.773128080098234	0.771524890430025	0.784956032449896	0.810218779912318	1.0	0.810749605646506	0.773990197040726	0.805499676162541	0.795646337536931	0.799159409285478	0.780559598430682	0.814138486703934	0.805493089278616	0.785325294257144	0.803933213124078	0.756149620421329	0.778635976417582	0.802006743219738	0.777871339863388	0.760628149866553	0.772450624436491	0.800357025238317	0.810091381778664
D3	0.82457751295895	0.819690468197388	0.83520416704793	0.815362853534318	0.828846836280862	0.829727735395045	0.821904537425974	0.820165225893236	0.822217195697672	0.819190572789371	0.82728401259189	0.830343802318747	0.828512908007755	0.822260189103269	0.816499709237133	0.826687877833022	0.818719081630868	0.841224146796026	0.821572890671306	0.819878550244477	0.814104575646171	1.0	0.827670482152219	0.825196968040434
FC951	0.761406432519498	0.750145470782708	0.762974267294324	0.787399963452803	0.769235743801612	0.768152001847316	0.766326019458975	0.763589143269758	0.762674955313165	0.758774044316539	0.762652439453744	0.767319588842478	0.766491544469165	0.76300384192577	0.762228876964092	0.767961132282259	1.0	0.770851111223505	0.75951976347288	0.756747610423583	0.749509866622655	0.777831965658295	0.771690666833046	0.763352481307823
