module	genome_name	db_name	stepwise_module_completeness	stepwise_module_is_complete	step_id	step	step_completeness	step_copy_number
M00115	KMM366	KMM366	1.0	True	2	K00767	1	1
M00115	KMM366	KMM366	1.0	True	3	(K00969,K06210)	1	1
M00115	KMM366	KMM366	1.0	True	4	(K01916,K01950)	1	1
M00912	KMM366	KMM366	0.375	False	0	(K00453,K00463)	0	0
M00912	KMM366	KMM366	0.375	False	1	(K01432,K14263,K07130)	0	0
M00912	KMM366	KMM366	0.375	False	2	K00486	0	0
M00912	KMM366	KMM366	0.375	False	3	K01556	0	0
M00912	KMM366	KMM366	0.375	False	4	K00452	0	0
M00912	KMM366	KMM366	0.375	False	5	K00767	1	1
M00912	KMM366	KMM366	0.375	False	6	(K00969,K06210)	1	1
M00912	KMM366	KMM366	0.375	False	7	(K01916,K01950)	1	1
M00119	KMM366	KMM366	0.8	True	0	K00826	1	1
M00119	KMM366	KMM366	0.8	True	1	K00606	1	1
M00119	KMM366	KMM366	0.8	True	2	K00077	1	1
M00119	KMM366	KMM366	0.8	True	3	K01579	0	0
M00119	KMM366	KMM366	0.8	True	4	(K01918,K13799)	1	1
M00913	KMM366	KMM366	0.6	False	0	K00606	1	1
M00913	KMM366	KMM366	0.6	False	1	K00077	1	1
M00913	KMM366	KMM366	0.6	False	2	K13367	0	0
M00913	KMM366	KMM366	0.6	False	3	K00128	0	0
M00913	KMM366	KMM366	0.6	False	4	K01918	1	1
M00120	KMM366	KMM366	1.0	True	0	(K00867,K03525,K01947,K09680)	1	1
M00120	KMM366	KMM366	1.0	True	1	((K01922,K21977) K01598,K13038)	1	1
M00120	KMM366	KMM366	1.0	True	2	(K02318,(K00954,K02201) K00859)	1	1
M00914	KMM366	KMM366	0.42857142857142855	False	0	K00606	1	1
M00914	KMM366	KMM366	0.42857142857142855	False	1	K00077	1	1
M00914	KMM366	KMM366	0.42857142857142855	False	2	K06982	0	0
M00914	KMM366	KMM366	0.42857142857142855	False	3	K09722	0	0
M00914	KMM366	KMM366	0.42857142857142855	False	4	K13038	1	1
M00914	KMM366	KMM366	0.42857142857142855	False	5	K02201	0	0
M00914	KMM366	KMM366	0.42857142857142855	False	6	K09735	0	0
M00572	KMM366	KMM366	0.8333333333333334	True	0	K02169	1	1
M00572	KMM366	KMM366	0.8333333333333334	True	1	(K00647,K09458)	1	3
M00572	KMM366	KMM366	0.8333333333333334	True	2	K00059	1	4
M00572	KMM366	KMM366	0.8333333333333334	True	3	K02372	1	1
M00572	KMM366	KMM366	0.8333333333333334	True	4	K00208	0	0
M00572	KMM366	KMM366	0.8333333333333334	True	5	(K02170,K09789,K19560,K19561)	1	1
M00123	KMM366	KMM366	1.0	True	0	K00652	1	1
M00123	KMM366	KMM366	1.0	True	1	((K00833,K19563) K01935,K19562)	1	1
M00123	KMM366	KMM366	1.0	True	2	K01012	1	1
M00950	KMM366	KMM366	0.75	True	0	K00652	1	1
M00950	KMM366	KMM366	0.75	True	1	K25570	0	0
M00950	KMM366	KMM366	0.75	True	2	K01935	1	1
M00950	KMM366	KMM366	0.75	True	3	K01012	1	1
M00573	KMM366	KMM366	0.6	False	0	K16593	0	0
M00573	KMM366	KMM366	0.6	False	1	K00652	1	1
M00573	KMM366	KMM366	0.6	False	2	K19563	0	0
M00573	KMM366	KMM366	0.6	False	3	K01935	1	1
M00573	KMM366	KMM366	0.6	False	4	K01012	1	1
M00577	KMM366	KMM366	0.8	True	0	K01906	0	0
M00577	KMM366	KMM366	0.8	True	1	K00652	1	1
M00577	KMM366	KMM366	0.8	True	2	(K00833,K19563)	1	1
M00577	KMM366	KMM366	0.8	True	3	K01935	1	1
M00577	KMM366	KMM366	0.8	True	4	K01012	1	1
M00881	KMM366	KMM366	1.0	True	0	K03801	1	1
M00881	KMM366	KMM366	1.0	True	1	K03644	1	1
M00882	KMM366	KMM366	0.5	False	0	K23735	0	0
M00882	KMM366	KMM366	0.5	False	1	K03644	1	1
M00883	KMM366	KMM366	0.6666666666666666	False	0	(K23735,K23734)	0	0
M00883	KMM366	KMM366	0.6666666666666666	False	1	K03644	1	1
M00883	KMM366	KMM366	0.6666666666666666	False	2	(K10105,K16869)	1	1
M00884	KMM366	KMM366	0.5	False	0	K23750	0	0
M00884	KMM366	KMM366	0.5	False	1	K03644	1	1
M00126	KMM366	KMM366	1.0	True	0	(K01495,K09007,K22391)	1	1
M00126	KMM366	KMM366	1.0	True	1	(K01077,K01113,(K08310,K19965))	1	3
M00126	KMM366	KMM366	1.0	True	2	((K13939,(K13940,K01633 K00950) K00796),(K01633 K13941))	1	1
M00126	KMM366	KMM366	1.0	True	3	(K11754,K20457)	1	1
M00126	KMM366	KMM366	1.0	True	4	(K00287,K13998)	1	1
M00840	KMM366	KMM366	0.42857142857142855	False	0	K14652	1	1
M00840	KMM366	KMM366	0.42857142857142855	False	1	K22100	0	0
M00840	KMM366	KMM366	0.42857142857142855	False	2	--	0	0
M00840	KMM366	KMM366	0.42857142857142855	False	3	K01633	1	1
M00840	KMM366	KMM366	0.42857142857142855	False	4	K13941	0	0
M00840	KMM366	KMM366	0.42857142857142855	False	5	K22099	0	0
M00840	KMM366	KMM366	0.42857142857142855	False	6	K00287	1	1
M00841	KMM366	KMM366	0.4	False	0	K01495	1	1
M00841	KMM366	KMM366	0.4	False	1	K22101	0	0
M00841	KMM366	KMM366	0.4	False	2	K13941	0	0
M00841	KMM366	KMM366	0.4	False	3	K11754	1	1
M00841	KMM366	KMM366	0.4	False	4	K13998	0	0
M00842	KMM366	KMM366	0.6666666666666666	False	0	K01495	1	1
M00842	KMM366	KMM366	0.6666666666666666	False	1	K01737	1	1
M00842	KMM366	KMM366	0.6666666666666666	False	2	K00072	0	0
M00843	KMM366	KMM366	0.6666666666666666	False	0	K01495	1	1
M00843	KMM366	KMM366	0.6666666666666666	False	1	K01737	1	1
M00843	KMM366	KMM366	0.6666666666666666	False	2	K17745	0	0
M00880	KMM366	KMM366	1.0	True	0	((K03639 K03637),K20967)	1	1
M00880	KMM366	KMM366	1.0	True	1	(K03635,K21142)	1	1
M00880	KMM366	KMM366	1.0	True	2	(((K03831,K03638) K03750),K15376)	1	2
M00988	KMM366	KMM366	1.0	True	0	(K01495,K09007,K22391)	1	1
M00988	KMM366	KMM366	1.0	True	1	K01737	1	1
M00988	KMM366	KMM366	1.0	True	2	K10026	1	1
M00988	KMM366	KMM366	1.0	True	3	K06920	1	1
M00988	KMM366	KMM366	1.0	True	4	(K06879,K09457)	1	1
M00140	KMM366	KMM366	1.0	True	0	K00600	1	1
M00140	KMM366	KMM366	1.0	True	1	(K01491,(K00300 K01500))	1	1
M00140	KMM366	KMM366	1.0	True	2	K01938	1	1
M00141	KMM366	KMM366	0.5	False	0	K00600	1	1
M00141	KMM366	KMM366	0.5	False	1	(K00288,(K13403 K13402))	0	0
M00846	KMM366	KMM366	1.0	True	0	K02492	1	1
M00846	KMM366	KMM366	1.0	True	1	K01845	1	1
M00846	KMM366	KMM366	1.0	True	2	K01698	1	1
M00846	KMM366	KMM366	1.0	True	3	K01749	1	1
M00846	KMM366	KMM366	1.0	True	4	(K01719,K13542,K13543)	1	1
M00846	KMM366	KMM366	1.0	True	5	(K02302,(K00589,K02303,K02496,K13542,K13543)+(K02304,(K24866+K03794)))	1	0
M00868	KMM366	KMM366	0.75	True	0	K00643	0	0
M00868	KMM366	KMM366	0.75	True	1	K01698	1	1
M00868	KMM366	KMM366	0.75	True	2	K01749	1	1
M00868	KMM366	KMM366	0.75	True	3	K01719	1	1
M00868	KMM366	KMM366	0.75	True	4	K01599	1	1
M00868	KMM366	KMM366	0.75	True	5	K00228	1	1
M00868	KMM366	KMM366	0.75	True	6	K00231	0	0
M00868	KMM366	KMM366	0.75	True	7	K01772	1	1
M00121	KMM366	KMM366	1.0	True	0	K01885	1	1
M00121	KMM366	KMM366	1.0	True	1	K02492	1	1
M00121	KMM366	KMM366	1.0	True	2	K01845	1	1
M00121	KMM366	KMM366	1.0	True	3	K01698	1	1
M00121	KMM366	KMM366	1.0	True	4	K01749	1	1
M00121	KMM366	KMM366	1.0	True	5	(K01719,K13542,K13543)	1	1
M00121	KMM366	KMM366	1.0	True	6	K01599	1	1
M00121	KMM366	KMM366	1.0	True	7	(K00228,K02495)	1	3
M00121	KMM366	KMM366	1.0	True	8	(K00230,K00231,K08973)	1	1
M00121	KMM366	KMM366	1.0	True	9	K01772	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	0	K02492	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	1	K01845	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	2	K01698	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	3	K01749	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	4	(K01719,K13542)	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	5	K01599	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	6	K00231	0	0
M00926	KMM366	KMM366	0.7777777777777778	True	7	K01772	1	1
M00926	KMM366	KMM366	0.7777777777777778	True	8	K00435	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	0	(K02302,(K02303,K13542) (K02304,K24866))	1	0
M00924	KMM366	KMM366	0.09090909090909091	False	1	(K02190,K03795,K22011)	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	2	K03394	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	3	(K05934,K13541,K21479)	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	4	K05936	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	5	(K02189,K13541)	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	6	K02188	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	7	K05895	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	8	(K02191 K03399,K00595)	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	9	K06042	0	0
M00924	KMM366	KMM366	0.09090909090909091	False	10	K02224	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	0	(K02303,K13542)	1	2
M00925	KMM366	KMM366	0.09090909090909091	False	1	(K03394,K13540)	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	2	K02229	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	3	(K05934,K13540,K13541)	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	4	K05936	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	5	K02228	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	6	K05895	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	7	K00595	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	8	K06042	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	9	K02224	0	0
M00925	KMM366	KMM366	0.09090909090909091	False	10	K02230+K09882+K09883	0	0
M00122	KMM366	KMM366	0.2857142857142857	False	0	(K00798,K19221)	1	2
M00122	KMM366	KMM366	0.2857142857142857	False	1	K02232	0	0
M00122	KMM366	KMM366	0.2857142857142857	False	2	(K02225,K02227)	1	1
M00122	KMM366	KMM366	0.2857142857142857	False	3	K02231	0	0
M00122	KMM366	KMM366	0.2857142857142857	False	4	K00768	0	0
M00122	KMM366	KMM366	0.2857142857142857	False	5	(K02226,K22316)	0	0
M00122	KMM366	KMM366	0.2857142857142857	False	6	K02233	0	0
M00117	KMM366	KMM366	1.0	True	0	(K03181,K18240)	1	1
