module	KMM289	KMM358	KMM366
M00718	0.5	0.5	0.5
M00726	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00740	0.18181818181818182	0.18181818181818182	0.18181818181818182
M00744	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00761	0.2	0.2	0.2
M00769	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00793	1.0	1.0	1.0
M00835	0.14285714285714285	0.0	0.0
M00840	0.42857142857142855	0.42857142857142855	0.42857142857142855
M00841	0.4	0.4	0.4
M00842	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00843	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00844	1.0	1.0	1.0
M00845	0.7142857142857143	0.7142857142857143	0.7142857142857143
M00846	1.0	1.0	1.0
M00849	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00850	0.3333333333333333	0.16666666666666666	0.16666666666666666
M00854	1.0	1.0	1.0
M00855	1.0	1.0	1.0
M00856	0.0	0.25	0.25
M00866	0.8888888888888888	0.8888888888888888	0.8888888888888888
M00867	0.2	0.2	0.2
M00868	0.75	0.75	0.75
M00873	0.16666666666666666	0.16666666666666666	0.16666666666666666
M00874	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00879	0.8	0.8	0.8
M00880	1.0	1.0	1.0
M00881	1.0	1.0	1.0
M00882	0.5	0.5	0.5
M00883	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00884	0.5	0.5	0.5
M00885	0.4	0.4	0.4
M00886	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00892	0.25	0.25	0.25
M00895	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00896	0.5	0.5	0.5
M00897	0.4	0.4	0.4
M00899	0.5	0.5	0.5
M00909	1.0	1.0	1.0
M00911	0.4444444444444444	0.4444444444444444	0.4444444444444444
M00912	0.375	0.375	0.375
M00913	0.6	0.6	0.6
M00914	0.42857142857142855	0.42857142857142855	0.42857142857142855
M00923	1.0	0.3333333333333333	0.3333333333333333
M00924	0.09090909090909091	0.09090909090909091	0.09090909090909091
M00925	0.09090909090909091	0.09090909090909091	0.09090909090909091
M00926	0.7777777777777778	0.7777777777777778	0.7777777777777778
M00932	0.5714285714285714	0.5714285714285714	0.5714285714285714
M00936	0.25	0.25	0.25
M00938	1.0	1.0	1.0
M00939	0.4	0.4	0.4
M00950	0.75	0.75	0.75
M00953	0.2	0.2	0.2
M00956	0.5714285714285714	0.42857142857142855	0.42857142857142855
M00957	0.4	0.4	0.4
M00958	1.0	1.0	1.0
M00959	1.0	1.0	1.0
M00960	0.2222222222222222	0.2222222222222222	0.2222222222222222
M00961	0.25	0.25	0.25
M00970	1.0	1.0	1.0
M00972	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00975	0.5	0.5	0.5
M00978	0.8333333333333334	0.8333333333333334	0.8333333333333334
M00982	0.8571428571428571	0.8571428571428571	0.8571428571428571
M00986	1.0	1.0	1.0
M00988	1.0	1.0	1.0
M00989	1.0	1.0	1.0
M00990	0.25	0.25	0.25
M00991	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00992	0.2	0.2	0.2
M00993	0.5	0.5	0.5
M00995	1.0	1.0	1.0
M00996	1.0	1.0	1.0
M00997	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00999	1.0	1.0	1.0
M01000	0.3333333333333333	0.6666666666666666	0.6666666666666666
M01002	0.25	0.25	0.25
M01004	1.0	1.0	1.0
M01006	0.2	0.8	0.8
M01007	0.3333333333333333	0.5	0.5
M01009	1.0	1.0	1.0
M01014	0.0	0.5	0.5
M01016	0.0	1.0	1.0
M01017	0.0	0.3333333333333333	0.3333333333333333
M01018	0.0	0.5	0.5
M01019	0.0	0.5	0.5
M01020	0.0	0.6666666666666666	0.6666666666666666
M01022	0.75	0.75	0.75
M01023	0.4	0.4	0.4
M01024	0.4	0.4	0.4
M01025	0.5	0.5	0.5
M01026	0.5	0.5	0.5
M01027	0.5	0.5	0.5
M01028	0.5	0.5	0.5
M01029	0.0	0.4	0.4
M01030	0.0	0.5	0.5
M01031	0.0	0.4	0.4
M01032	0.5	0.5	0.5
M01033	0.3333333333333333	0.3333333333333333	0.3333333333333333
M01034	0.0	0.6666666666666666	0.6666666666666666
M01037	0.5	0.5	0.5
