MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_ Anadromous	N_ Anadromous	p_ Freshwater	N_ Freshwater
Ascorbate degradation, ascorbate => D-xylulose-5P	3.000002801333748	0.08326437269349793	1	Freshwater	M00550	KMM289	0	2	1	1
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	3.000002801333748	0.08326437269349793	1	Freshwater	M00308	KMM289	0	2	1	1
UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc	3.000002801333748	0.08326437269349793	1	Freshwater	M00923	KMM289	0	2	1	1
Formaldehyde assimilation, ribulose monophosphate pathway	3.0000028013337467	0.08326437269349815	1	Anadromous	M00345	KMM358,KMM366	1	2	0	1
GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N	3.0000028013337467	0.08326437269349815	1	Anadromous	M01006	KMM358,KMM366	1	2	0	1
GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc	3.0000028013337467	0.08326437269349815	1	Anadromous	M01016	KMM358,KMM366	1	2	0	1
Sulfate-sulfur assimilation	3.0000028013337467	0.08326437269349815	1	Anadromous	M00616	KMM358,KMM366	1	2	0	1
ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	0	1	1	NA	M00064	KMM289,KMM358,KMM366	1	2	1	1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0	1	1	NA	M00049	KMM289,KMM358,KMM366	1	2	1	1
Adenine ribonucleotide degradation, AMP => Urate	0	1	1	NA	M00958	KMM289,KMM358,KMM366	1	2	1	1
Arginine biosynthesis, ornithine => arginine	0	1	1	NA	M00844	KMM289,KMM358,KMM366	1	2	1	1
Arginine succinyltransferase pathway, arginine => glutamate	0	1	1	NA	M00879	KMM289,KMM358,KMM366	1	2	1	1
Assimilatory sulfate reduction, sulfate => H2S	0	1	1	NA	M00176	KMM289,KMM358,KMM366	1	2	1	1
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	0	1	1	NA	M00950	KMM289,KMM358,KMM366	1	2	1	1
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	0	1	1	NA	M00577	KMM289,KMM358,KMM366	1	2	1	1
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	0	1	1	NA	M00123	KMM289,KMM358,KMM366	1	2	1	1
C1-unit interconversion, prokaryotes	0	1	1	NA	M00140	KMM289,KMM358,KMM366	1	2	1	1
C10-C20 isoprenoid biosynthesis, bacteria	0	1	1	NA	M00364	KMM289,KMM358,KMM366	1	2	1	1
C5 isoprenoid biosynthesis, non-mevalonate pathway	0	1	1	NA	M00096	KMM289,KMM358,KMM366	1	2	1	1
CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	0	1	1	NA	M00063	KMM289,KMM358,KMM366	1	2	1	1
Citrate cycle (TCA cycle, Krebs cycle)	0	1	1	NA	M00009	KMM289,KMM358,KMM366	1	2	1	1
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0	1	1	NA	M00010	KMM289,KMM358,KMM366	1	2	1	1
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0	1	1	NA	M00011	KMM289,KMM358,KMM366	1	2	1	1
