module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00032	KMM289	KMM289	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Pathway modules	Amino acid metabolism	Lysine metabolism	"K14157 K14085 K00825 (K15791+K00658+K00382) K00252 (K07514,(K07515,K07511) K00022)"	0.0	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00382,K00658	2122,722	K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00658 is present in multiple modules: M00009/M00011/M00032	0	0	0,0,0,0,0,0
M00956	KMM289	KMM289	Lysine degradation, bacteria, L-lysine => succinate	Pathway modules	Amino acid metabolism	Lysine metabolism	"K01582 K09251 K00137 K07250 K00135 K15737 K15736"	0.5714285714285714	False	0.5714285714285714	False	1.0	K00137,K01582	1,1	K00135,K00137,K01582,K07250	1298,779,1474,1300	K00135 is present in multiple modules: M00956/M00957/M00027,K07250 is present in multiple modules: M00956/M00957/M00027	0	0	1,0,1,1,1,0,0
M00957	KMM289	KMM289	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	Pathway modules	Amino acid metabolism	Lysine metabolism	"K00468 K01506 (K14268,K07250) K00135 ((K15737 K15736),(K01041 K00252 (K01692,K01825,K01782) (K01825,K01782) K00626))"	0.4	False	0.5555555555555556	False	NA	No enzymes unique to module	NA	K00135,K00626,K01782,K01825,K07250	1298,374,387,2635,1300	K00135 is present in multiple modules: M00956/M00957/M00027,K00626 is present in multiple modules: M00373/M00375/M00374/M00088/M00957/M00095/M00849,K01782 is present in multiple modules: M00087/M00957,K01825 is present in multiple modules: M00087/M00957,K07250 is present in multiple modules: M00956/M00957/M00027	0	0	0,0,1,1,0
M00960	KMM289	KMM289	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K25316,K25317) K26064 K13609 K26065 K26061 K26062 K25986 K26063 K15737"	0.2222222222222222	False	0.2222222222222222	False	1.0	K25316,K25317,K26063	1,1,1	K25316,K25317,K26063	1836,4069,869	None	0	0	2,0,0,0,0,0,0,1,0
M00028	KMM289	KMM289	Ornithine biosynthesis, glutamate => ornithine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"(K00618,K00619,K14681,K14682,K00620,K22477,K22478) ((K00930,K22478) K00145,K12659) (K00818,K00821) (K01438,K14677,K00620)"	1.0	True	1.0	True	1.0	K00930,K14682	1,1	K00145,K00821,K00930,K01438,K14682	2099,3627,2100,2098,842	K00145 is present in multiple modules: M00028/M00845,K00821 is present in multiple modules: M00016/M00028/M00845,K01438 is present in multiple modules: M00028/M00845	1	1	1,1,1,1
M00844	KMM289	KMM289	Arginine biosynthesis, ornithine => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00611 K01940 (K01755,K14681)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00611,K00611,K01755,K01940	2770,2101,2103,2102	K00611 is present in multiple modules: M00844/M00029/M00978,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978	1	1	2,1,1
M00845	KMM289	KMM289	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K22478 K00145 K00821 K09065 K01438 K01940 K01755"	0.7142857142857143	False	0.7142857142857143	False	NA	No enzymes unique to module	NA	K00145,K00821,K01438,K01755,K01940	2099,3627,2098,2103,2102	K00145 is present in multiple modules: M00028/M00845,K00821 is present in multiple modules: M00016/M00028/M00845,K01438 is present in multiple modules: M00028/M00845,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978	0	0	0,1,1,0,1,1,1
M00029	KMM289	KMM289	Urea cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K01948 K00611 K01940 (K01755,K14681) K01476"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00611,K00611,K01755,K01940	2770,2101,2103,2102	K00611 is present in multiple modules: M00844/M00029/M00978,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978	0	0	0,2,1,1,0
M00978	KMM289	KMM289	Ornithine-ammonia cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K01915 K01955+K01956 K00611 K01940 K01755 (K27542,K27545)"	0.8333333333333334	True	0.8333333333333334	True	1.0	K01915	2	K00611,K00611,K01755,K01915,K01915,K01940,K01955,K01956	2770,2101,2103,2744,2397,2102,4087,4086	K00611 is present in multiple modules: M00844/M00029/M00978,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978,K01955 is present in multiple modules: M00051/M00978,K01956 is present in multiple modules: M00051/M00978	1	0	2,1,2,1,1,0
M00015	KMM289	KMM289	Proline biosynthesis, glutamate => proline	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"((K00931 K00147),K12657) K00286"	1.0	True	1.0	True	1.0	K00147,K00931	1,1	K00147,K00286,K00931	3379,3102,3378	K00286 is present in multiple modules: M00015/M00972	1	1	1,1
M00970	KMM289	KMM289	Proline degradation, proline => glutamate	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"((K00318 K00294),K13821)"	1.0	True	1.0	True	1.0	K13821	1	K13821	1788	None	1	1	1
M00972	KMM289	KMM289	Proline metabolism	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00819 K00286 K00318"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00286	3102	K00286 is present in multiple modules: M00015/M00972	0	0	0,1,0
M00879	KMM289	KMM289	Arginine succinyltransferase pathway, arginine => glutamate	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00673 K01484 K00840 K06447 K05526"	0.8	True	0.8	True	1.0	K00673,K01484,K05526,K06447	1,1,1,1	K00673,K01484,K05526,K06447	3628,3683,3990,3629	None	1	0	1,1,0,1,1
M00133	KMM289	KMM289	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"(K01584,K01585,K02626) K01480 K01611 K00797"	0.25	False	0.25	False	1.0	K01585	1	K01585	3913	None	0	0	1,0,0,0
M00134	KMM289	KMM289	Polyamine biosynthesis, arginine => ornithine => putrescine	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"K01476,K27545 K01581"	0.5	False	0.5	False	1.0	K01581	1	K01581	1415	None	0	0	0,1
M00136	KMM289	KMM289	GABA biosynthesis, prokaryotes, putrescine => GABA	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"K09470 K09471 K09472 K09473"	0.5	False	0.5	False	1.0	K09471,K09472	4,1	K09471,K09471,K09471,K09471,K09472	1296,1781,718,3590,2729	None	0	0	0,4,1,0
M00026	KMM289	KMM289	Histidine biosynthesis, PRPP => histidine	Pathway modules	Amino acid metabolism	Histidine metabolism	"(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)"	1.0	True	1.0	True	1.0	K00013,K00765,K00817,K01089,K01814,K02500,K02501,K11755	1,1,1,1,1,1,1,1	K00013,K00765,K00817,K01089,K01814,K02500,K02501,K11755	564,563,565,566,568,569,567,570	None	1	1	1,1,1,1,1,1
M00045	KMM289	KMM289	Histidine degradation, histidine => N-formiminoglutamate => glutamate	Pathway modules	Amino acid metabolism	Histidine metabolism	"K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))"	1.0	True	1.0	True	1.0	K01468,K01479,K01712,K01745	1,1,1,2	K01468,K01479,K01712,K01745,K01745	2884,2885,2886,2887,3429	None	1	1	2,1,1,1
M00022	KMM289	KMM289	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736"	1.0	True	1.0	True	1.0	K00014,K00800,K00891,K01626,K01735,K01736,K03786	1,1,1,4,1,1,1	K00014,K00800,K00891,K01626,K01626,K01626,K01626,K01735,K01736,K03786	2758,145,3618,1093,4078,146,1003,3619,405,1737	None	1	1	4,1,1,1
M00023	KMM289	KMM289	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(((K01657+K01658,K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) (K01695+(K01696,K06001),K01694)"	1.0	True	1.0	True	1.0	K00766,K01609,K01657,K01658,K01695,K01696,K01817,K13498	1,1,1,1,1,1,1,1	K00766,K01609,K01657,K01658,K01695,K01696,K01817,K13498	1257,1258,1255,3626,1260,1259,1258,1258	None	1	1	1,1,1
M00024	KMM289	KMM289	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00832,K14170,K14187	2021,1597,1004	K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044,K14170 is present in multiple modules: M00024/M00025/M00040,K14187 is present in multiple modules: M00024/M00025	1	1	1,1
M00025	KMM289	KMM289	Tyrosine biosynthesis, chorismate => HPP => tyrosine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00832,K14170,K14187	2021,1597,1004	K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044,K14170 is present in multiple modules: M00024/M00025/M00040,K14187 is present in multiple modules: M00024/M00025	1	1	1,1
M00040	KMM289	KMM289	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(K01850,K04092,K14170) (K00832,K15849) (K00220,K24018,K15227)"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00832,K14170	2021,1597	K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044,K14170 is present in multiple modules: M00024/M00025/M00040	0	0	1,1,0
M00044	KMM289	KMM289	Tyrosine degradation, tyrosine => homogentisate	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(K00815,K00838,K00832,K03334) K00457 K00451 K01800 (K01555,K16171)"	1.0	True	1.0	True	1.0	K00451,K00457,K01800,K16171	1,1,1,1	K00451,K00457,K00832,K01800,K16171	4222,4221,2021,4224,4223	K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044	1	1	1,1,1,1,1
M00936	KMM289	KMM289	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"K01593 K24541 K22450 (K22588,K13066)"	0.25	False	0.25	False	1.0	K22450	1	K22450	552	None	0	0	0,0,1,0
M00027	KMM289	KMM289	GABA (gamma-Aminobutyrate) shunt	Pathway modules	Amino acid metabolism	Other amino acid metabolism	"K01580 (K13524,K07250,K00823,K16871) (K00135,K00139,K17761)"	0.6666666666666666	False	0.6666666666666666	False	1.0	K00823	1	K00135,K00823,K07250	1298,1300,1300	K00135 is present in multiple modules: M00956/M00957/M00027,K07250 is present in multiple modules: M00956/M00957/M00027	0	0	0,1,1
M00118	KMM289	KMM289	Glutathione biosynthesis, glutamate => glutathione	Pathway modules	Amino acid metabolism	Other amino acid metabolism	"(K11204+K11205,K01919) (K21456,K01920)"	1.0	True	1.0	True	1.0	K01919,K01920	1,1	K01919,K01920	3193,1504	None	1	1	1,1
M00892	KMM289	KMM289	UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00820 K00621 K01836 K00972"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00820	2575	K00820 is present in multiple modules: M00892/M00909/M01002/M00995	0	0	1,0,0,0
M00909	KMM289	KMM289	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00820 (K03431,K28126) (K04042,K23144,(K28192 (K11528,K00972)))"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00820,K03431,K04042	2575,1700,2556	K00820 is present in multiple modules: M00892/M00909/M01002/M00995,K03431 is present in multiple modules: M00909/M00995,K04042 is present in multiple modules: M00909/M00995	1	1	1,1,1
M01002	KMM289	KMM289	UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00820 K28125 K28126 K23144"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00820	2575	K00820 is present in multiple modules: M00892/M00909/M01002/M00995	0	0	1,0,0,0
M00996	KMM289	KMM289	UDP-MurNAc biosynthesis, anhMurNAc => UDP-MurNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K09001 K22292 K07102 K00992"	1.0	True	1.0	True	1.0	K00992,K07102,K09001,K22292	1,1,1,1	K00992,K07102,K09001,K22292	3371,3370,1489,527	None	1	1	1,1,1,1
M00995	KMM289	KMM289	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00820 K03431 K04042 K00790 K00075"	1.0	True	1.0	True	1.0	K00075,K00790	1,1	K00075,K00790,K00820,K03431,K04042	2824,2236,2575,1700,2556	K00820 is present in multiple modules: M00892/M00909/M01002/M00995,K03431 is present in multiple modules: M00909/M00995,K04042 is present in multiple modules: M00909/M00995	1	1	1,1,1,1,1
M00549	KMM289	KMM289	UDP-Glc biosynthesis, Glc => UDP-Glc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"(K00844,K00845,K25026,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00845,K00886,K00963,K01835,K25026	3738,3341,3312,1111,1785	K00845 is present in multiple modules: M00001/M00549,K00886 is present in multiple modules: M00001/M00549,K00963 is present in multiple modules: M00129/M00854/M00549,K01835 is present in multiple modules: M00855/M00549,K25026 is present in multiple modules: M00001/M00549	1	1	3,1,1
M01004	KMM289	KMM289	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K01784 (K01854,K28214)"	1.0	True	1.0	True	1.0	K01854	1	K01784,K01784,K01854	2416,1871,825	K01784 is present in multiple modules: M00632/M01004	1	1	2,1
M00997	KMM289	KMM289	UDP-Xyl/L-Ara biosynthesis, UDP-Glc => UDP-Xyl => UDP-L-Ala	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00012 K08678 K12448"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00012	3400	K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761	0	0	1,0,0
M00999	KMM289	KMM289	UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00012 K08679"	1.0	True	1.0	True	1.0	K08679	1	K00012,K08679	3400,3399	K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761	1	1	1,1
M00554	KMM289	KMM289	UDP-Gal biosynthesis, Gal => UDP-Gal	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00849 K00965"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00849,K00965	2418,2417	K00849 is present in multiple modules: M00632/M00554,K00965 is present in multiple modules: M00632/M00554	1	1	1,1
M01000	KMM289	KMM289	GDP-Man biosynthesis, Fru-6P => GDP-Man	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"(K01809,K28465,K15916,K16011) (K17497,K01840,K15778,K16881) (K00966,K00971,K16011,K16881)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K01809,K01809	4041,539	K01809 is present in multiple modules: M00114/M01000/M01006	0	0	2,0,0
M00923	KMM289	KMM289	UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K15894 K19068 K24258"	1.0	True	1.0	True	1.0	K19068,K24258	1,1	K15894,K19068,K24258	4165,1221,1220	K15894 is present in multiple modules: M00923/M01007	1	1	1,1,1
M01007	KMM289	KMM289	CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K15894 K15895 K15896 K15897 K15898 K15899"	0.3333333333333333	False	0.3333333333333333	False	1.0	K15899	1	K15894,K15899	4165,4163	K15894 is present in multiple modules: M00923/M01007	0	0	1,0,0,0,0,1
M01009	KMM289	KMM289	UDP-QuiNAc biosynthesis, UDP-GlcNAc => UDP-QuiNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"(K24300,K28372) (K24310,K24311)"	1.0	True	1.0	True	1.0	K24310	1	K24300,K24310	1216,1218	K24300 is present in multiple modules: M01009/M01032/M01033/M01037	1	1	1,1
M01032	KMM289	KMM289	UDP-D-FucNAc biosynthesis, UDP-GlcNAc => UDP-D-FucNAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K24300 K24312"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K24300	1216	K24300 is present in multiple modules: M01009/M01032/M01033/M01037,No KOfam profile for K24312	0	0	1,0
M01033	KMM289	KMM289	UDP-yelosamine biosynthesis, UDP-GlcNAc => UDP-yelosamine	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K24300 K25626 K27969"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K24300	1216	K24300 is present in multiple modules: M01009/M01032/M01033/M01037	0	0	1,0,0
M01037	KMM289	KMM289	UDP-D-FucNAc4N biosynthesis, UDP-GlcNAc => UDP-D-FucNAc4N	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K24300 (K25626,K26217)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K24300	1216	K24300 is present in multiple modules: M01009/M01032/M01033/M01037,No KOfam profile for K26217	0	0	1,0
M00063	KMM289	KMM289	CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K06041 K01627 K03270 K00979"	1.0	True	1.0	True	1.0	K00979,K01627,K03270,K06041	1,1,1,1	K00979,K01627,K03270,K06041	4151,3653,2228,2229	None	1	1	1,1,1,1
M01028	KMM289	KMM289	GDP-DDmanHep biosynthesis, sedoheptulose-7P => GDP-DDmanHep	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K03271 K07031 K03273 K15669"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K03271,K03271,K03273	2198,3873,2845	K03271 is present in multiple modules: M01028/M00064,K03273 is present in multiple modules: M01028/M00064	0	0	2,0,1,0
M00064	KMM289	KMM289	ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K03271 (K03272,K21344) K03273 (K03272,K21345) K03274"	1.0	True	1.0	True	1.0	K03272,K03274	1,1	K03271,K03271,K03272,K03273,K03274	2198,3873,3055,2845,2457	K03271 is present in multiple modules: M01028/M00064,K03273 is present in multiple modules: M01028/M00064	1	1	2,1,1,1,1
M00761	KMM289	KMM289	Und-P-alpha-L-Ara4N biosynthesis, UDP-Glc => UDP-L-Ara4FN => Und-P-alpha-L-Ara4N	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00012 K10011 K07806 K10012 K13014"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00012	3400	K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761	0	0	1,0,0,0,0
M00793	KMM289	KMM289	dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 ((K01790 K00067),K23987)"	1.0	True	1.0	True	1.0	K00067	1	K00067,K00973,K01710,K01790	1214,1213,1215,1212	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01790 is present in multiple modules: M00793/M01022	1	1	1,1,1
M01022	KMM289	KMM289	dTDP-6-deoxy-L-Tal biosynthesis, Glc-1P => dTDP-6-deoxy-L-Tal	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 K01790 (K19180,K19652)"	0.75	True	0.75	True	NA	No enzymes unique to module	NA	K00973,K01710,K01790	1213,1215,1212	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01790 is present in multiple modules: M00793/M01022,No KOfam profile for K19180	1	0	1,1,1,0
M01023	KMM289	KMM289	dTDP-D-Fuc3NAc biosynthesis, Glc-1P => dTDP-D-Fuc3NAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 K20679 K20680 K20681"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00973,K01710	1213,1215	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,No KOfam profile for K20679,No KOfam profile for K20680,No KOfam profile for K20681	0	0	1,1,0,0,0
M01024	KMM289	KMM289	dTDP-Qui3NAc biosynthesis, Glc-1P => dTDP-Qui3NAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 K24249 K24250 K24251"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00973,K01710	1213,1215	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027	0	0	1,1,0,0,0
M01025	KMM289	KMM289	dTDP-D-Fuc4NAc biosynthesis, Glc-1P => dTDP-D-Fuc4NAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 K02805 K16704"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00973,K01710	1213,1215	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027	0	0	1,1,0,0
M01026	KMM289	KMM289	dTDP-Qui4NAc biosynthesis, Glc-1P => dTDP-Qui4NAc	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 K20429 K21379"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00973,K01710	1213,1215	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027	0	0	1,1,0,0
M01027	KMM289	KMM289	dTDP-D-Fucf biosynthesis, Glc-1P => dTDP-D-Fucf	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"K00973 K01710 K13306 K20678"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00973,K01710	1213,1215	K00973 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,K01710 is present in multiple modules: M00793/M01022/M01023/M01024/M01025/M01026/M01027,No KOfam profile for K13306,No KOfam profile for K20678	0	0	1,1,0,0
M01006	KMM289	KMM289	GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N	Pathway modules	Glycan metabolism	Nucleotide sugar biosynthesis	"(K01809,K28465,K15916,K16011) (K01840,K15778,K16881) (K00966,K00971,K16011,K16881) K01711 K13010"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01809,K01809	4041,539	K01809 is present in multiple modules: M00114/M01000/M01006	0	0	2,0,0,0,0
M00079	KMM289	KMM289	Keratan sulfate degradation	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	"-- K01132 K12309 K01137 K12373"	0.2	False	0.2	False	1.0	K12373	2	K12373,K12373	3688,1120	'--' steps are assumed incomplete	0	0	0,0,0,0,2
M00060	KMM289	KMM289	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	"K00677 K02535 K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K02560"	1.0	True	1.0	True	1.0	K02560	2	K00677,K00748,K00912,K02517,K02517,K02517,K02527,K02535,K02536,K02560,K02560,K03269	1520,1519,4149,3054,672,671,2662,2138,1522,672,671,4233	K00677 is present in multiple modules: M00060/M00866,K00748 is present in multiple modules: M00060/M00866,K00912 is present in multiple modules: M00060/M00866,K02517 is present in multiple modules: M00060/M00866,K02527 is present in multiple modules: M00060/M00866,K02535 is present in multiple modules: M00060/M00866,K02536 is present in multiple modules: M00060/M00866,K03269 is present in multiple modules: M00060/M00866	1	1	1,1,1,1,1,1,1,3,2
M00866	KMM289	KMM289	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	"K00677 (K02535,K16363) K02536 (K03269,K09949) K00748 K00912 K02527 K02517 K09778"	0.8888888888888888	True	0.8888888888888888	True	NA	No enzymes unique to module	NA	K00677,K00748,K00912,K02517,K02517,K02517,K02527,K02535,K02536,K03269	1520,1519,4149,3054,672,671,2662,2138,1522,4233	K00677 is present in multiple modules: M00060/M00866,K00748 is present in multiple modules: M00060/M00866,K00912 is present in multiple modules: M00060/M00866,K02517 is present in multiple modules: M00060/M00866,K02527 is present in multiple modules: M00060/M00866,K02535 is present in multiple modules: M00060/M00866,K02536 is present in multiple modules: M00060/M00866,K03269 is present in multiple modules: M00060/M00866	1	0	1,1,1,1,1,1,1,3,0
M00867	KMM289	KMM289	KDO2-lipid A modification pathway	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	"K12977 K03760 K23082+K23083 K23159 K09953"	0.2	False	0.2	False	1.0	K03760	1	K03760	1125	None	0	0	0,1,0,0,0
M00127	KMM289	KMM289	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	"K03148+K03154 K03151 K03150 K03149 K03147 ((K00941 K00788),K14153,K21219) K00946"	1.0	True	1.0	True	1.0	K03150	1	K00788,K00946,K03147,K03148,K03149,K03150,K03151,K03154,K14153	2935,1717,2934,2936,2938,2939,892,2937,2935	K00788 is present in multiple modules: M00127/M00895/M00896/M00899,K00946 is present in multiple modules: M00127/M00895/M00896,K03147 is present in multiple modules: M00127/M00895/M00896/M00897,K03148 is present in multiple modules: M00127/M00895,K03149 is present in multiple modules: M00127/M00895,K03151 is present in multiple modules: M00127/M00895,K03154 is present in multiple modules: M00127/M00895,K14153 is present in multiple modules: M00127/M00897/M00899	1	1	1,1,1,1,1,1,1
