module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00114	KMM289	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	D-Fructose 6-phosphate	beta-L-Galactose 1-phosphate,GDP-L-galactose,GDP-mannose,D-Mannose 1-phosphate,L-Galactono-1,4-lactone,D-Mannose 6-phosphate,L-Galactose	Ascorbate	0.125	0.125
M00550	KMM289	Ascorbate degradation, ascorbate => D-xylulose-5P	Ascorbate	3-Dehydro-L-gulonate 6-phosphate,L-Xylulose 5-phosphate,L-Ribulose 5-phosphate,L-Ascorbate 6-phosphate	D-Xylulose 5-phosphate	1.0	1.0
M00854	KMM289	Glycogen biosynthesis, glucose-1P => glycogen/starch	D-Glucose 1-phosphate	ADP-glucose,UDP-glucose,Amylose	Starch	1.0	1.0
M00855	KMM289	Glycogen degradation, glycogen => glucose-6P	Starch	D-Glucose 1-phosphate	D-Glucose 6-phosphate	1.0	1.0
M00565	KMM289	Trehalose biosynthesis, D-glucose 1P => trehalose	D-Glucose 1-phosphate	Starch,Amylose,Maltooligosyltrehalose,Maltodextrin,ADP-glucose	Trehalose	0.6666666666666666	0.6666666666666666
M00012	KMM289	Glyoxylate cycle	Acetyl-CoA	Isocitrate,(S)-Malate,Glyoxylate,cis-Aconitate,Oxaloacetate,Citrate	None	0.8	0.8
M00373	KMM289	Ethylmalonyl pathway	Acetyl-CoA	Propanoyl-CoA,L-erythro-3-Methylmalyl-CoA,L-Malyl-CoA,(R)-Methylmalonyl-CoA,(2S)-Methylsuccinyl-CoA,2-Methylfumaryl-CoA,(2R)-Ethylmalonyl-CoA,Glyoxylate,(R)-3-Hydroxybutanoyl-CoA,Crotonoyl-CoA,(2S)-Ethylmalonyl-CoA,(S)-Methylmalonyl-CoA,Acetoacetyl-CoA	Succinyl-CoA,(S)-Malate	0.08333333333333333	0.08333333333333333
M00740	KMM289	Methylaspartate cycle	Acetyl-CoA	Isocitrate,L-erythro-3-Methylmalyl-CoA,(S)-Malate,L-Malyl-CoA,L-threo-3-Methylaspartate,2-Methylfumaryl-CoA,Oxalosuccinate,Glyoxylate,cis-Aconitate,Oxaloacetate,2-Oxoglutarate,L-Glutamate,Citrate,Mesaconate	None	0.18181818181818182	0.18181818181818182
M00532	KMM289	Photorespiration	L-Glutamate,D-Ribulose 1,5-bisphosphate	Glycolate,Oxygen,Glycine,Glyoxylate,2-Phosphoglycolate,Hydroxypyruvate,L-Serine,Hydrogen peroxide,D-Glycerate	Ammonia,3-Phospho-D-glycerate,2-Oxoglutarate	0.3	0.3
M00013	KMM289	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Propanoyl-CoA	3-Hydroxypropionyl-CoA,Propenoyl-CoA,3-Oxopropanoate,3-Hydroxypropanoate	Acetyl-CoA	0.4	0.4
M00982	KMM289	Methylcitrate cycle	Propanoyl-CoA	2-Methylcitrate,Succinate,(S)-Malate,2-Methyl-trans-aconitate,(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate,Fumarate,Oxaloacetate,(Z)-But-2-ene-1,2,3-tricarboxylate	None	0.8571428571428571	0.8571428571428571
M00968	KMM289	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	UMP,Uridine,AMP,CMP,Guanosine	D-Ribulose 1,5-bisphosphate,D-Ribose 1,5-bisphosphate,alpha-D-Ribose 1-phosphate,D-Ribulose 1-phosphate	Glycerone phosphate,3-Phospho-D-glycerate	0.25	0.0
M00131	KMM289	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	1D-myo-Inositol 1,3,4,5-tetrakisphosphate	1D-myo-Inositol 3-phosphate,1D-myo-Inositol 1,3,4-trisphosphate,D-myo-Inositol 3,4-bisphosphate	myo-Inositol	0.25	0.25
